Date,TotalAreainSqKm
2021-11-15,4506
2021-11-16,4618
2021-11-17,4414
2021-11-18,4648
2021-11-19,4879
2021-11-20,4879
2021-11-21,4879
2021-11-22,4879
2021-11-23,4618
2021-11-24,4915
2021-11-25,4916
2021-11-26,4915
2021-11-27,5170
2021-11-28,4193
2021-11-29,3879
2021-11-30,3561
2021-12-01,4107
2021-12-02,4290
2021-12-03,4290
2021-12-04,4124
2021-12-05,3943
2021-12-06,3774
2021-12-07,3775
2021-12-08,3775
2021-12-09,3734
2021-12-10,3583
2021-12-11,2842
2021-12-12,2905
2021-12-13,3068
2021-12-14,3068
2021-12-15,2945
2021-12-16,2945
2021-12-17,2648
2021-12-18,2640
2021-12-19,2704
2021-12-20,2703
2021-12-21,2761
2021-12-22,2265
2021-12-23,2482
2021-12-24,2486
2021-12-25,2478
2021-12-26,2633
2021-12-27,2633
2021-12-28,2633
2021-12-29,2634
2021-12-30,2629
2021-12-31,2603
2022-01-01,2603
2022-01-02,2603
2022-01-03,2603
2022-01-04,2464
2022-01-05,2465
2022-01-06,2453
2022-01-07,2453
2022-01-08,2453
2022-01-09,2354
2022-01-10,2124
2022-01-11,1898
2022-01-12,1898
2022-01-13,1898
2022-01-14,1898
2022-01-15,1920
2022-01-16,1920
2022-01-17,1922
2022-01-18,1913
2022-01-19,1921
2022-01-20,1901
2022-01-21,1842
2022-01-22,1842
2022-01-23,1676
2022-01-24,1676
2022-01-25,1676
2022-01-26,1676
2022-01-27,1676
2022-01-28,1638
2022-01-29,1639
2022-01-30,1642
2022-01-31,1642
2022-02-01,1593
2022-02-02,1593
2022-02-03,1593
2022-02-04,1532
2022-02-05,1513
2022-02-06,1513
2022-02-07,1513
2022-02-08,1495
2022-02-09,1486
2022-02-10,1488
2022-02-10,1488
